,DF,F2F,FS,NT
DF,0.9982,0.7048,0.1978,0.7909
F2F,0.7476,0.9882,0.6454,0.5376
FS,0.3203,0.6982,0.9994,0.3169
NT,0.8713,0.6297,0.3911,0.981
