model,video_acc,video_f1,video_auc,frame_acc,frame_f1,frame_auc
cnn_vit,0.9471,0.9671,0.9836,0.9276,0.9548,0.9624
xception,0.9729,0.983,0.9958,0.9549,0.9717,0.986
